s_no,company_name,total_apps,rejected,disposed,pending,amount,last_updated,extra,event,days_elapsed,sector_baseline_recovery
1,BHARAT SANCHAR NIGAM LTD.,2186,132,213,1005,656,0,180,1,335,0.192
2,INDIAN OIL CORPORATION LTD.,650,157,85,76,68,0,264,1,372,0.192
3,BHARAT HEAVY ELECTRICALS LTD.,571,50,93,126,116,0,186,1,103,0.192
4,BRIDGE & ROOF CO.(INDIA) LTD.,423,146,115,72,53,0,37,1,444,0.192
5,NTPC LTD.,238,10,16,25,11,0,176,1,342,0.192
6,HINDUSTAN PETROLEUM CORPN. LTD.,223,35,29,22,43,0,94,1,311,0.192
7,STEEL AUTHORITY OF INDIA LTD.,211,25,39,46,26,0,75,1,357,0.192
8,RASHTRIYA ISPAT NIGAM LTD.,132,46,23,17,20,0,26,1,229,0.192
9,GAIL (INDIA) LTD.,117,20,24,14,42,0,17,1,127,0.192
10,I T I LTD.,116,23,18,36,30,0,9,1,243,0.192
11,OIL & NATURAL GAS CORPORATION LTD.,109,18,27,22,17,0,25,1,325,0.192
12,POWER GRID CORPORATION OF INDIA LTD.,108,30,15,14,17,0,32,1,162,0.192
13,BHARAT PETROLEUM CORPN. LTD.,107,7,14,17,19,0,50,1,253,0.192
14,HINDUSTAN AERONAUTICS LTD.,97,0,2,8,0,0,87,1,119,0.192
15,BHARAT ELECTRONICS LTD.,91,25,6,15,26,0,19,1,265,0.192
16,WAPCOS LTD.,89,11,23,20,22,0,13,1,411,0.192
17,HEAVY ENGINEERING CORPN. LTD.,88,15,32,19,10,0,12,1,86,0.192
18,NBCC (INDIA) LTD.,81,10,23,23,22,0,3,1,392,0.192
19,MAHANAGAR TELEPHONE NIGAM LTD.,75,0,20,31,15,0,9,1,135,0.192
20,HOTEL CORPN. OF INDIA LTD.,68,0,0,0,68,0,0,0,229,0.192
21,HINDUSTAN INSECTICIDES LTD.,60,7,12,22,15,0,4,1,315,0.192
22,ENGINEERING PROJECTS (INDIA) LTD.,58,6,3,9,34,0,6,1,356,0.192
23,SOUTH EASTERN COALFIELDS LTD.,58,7,7,7,15,0,22,1,178,0.192
24,IRCON INTERNATIONAL LTD.,49,1,7,10,19,0,12,1,406,0.192
25,EASTERN COALFIELDS LTD.,49,3,10,6,7,0,23,1,119,0.192
26,CENTRAL COALFIELDS LTD.,49,9,6,7,9,0,18,1,114,0.192
27,AIRPORTS AUTHORITY OF INDIA,48,12,4,13,6,0,13,1,385,0.192
28,AI AIRPORT SERVICES LTD.,46,27,6,3,0,0,10,1,75,0.192
29,ELECTRONICS CORPN. OF INDIA LTD.,44,3,4,21,8,0,8,1,225,0.192
30,MECON LTD.,43,6,8,21,3,0,5,1,391,0.192
31,HMT MACHINE TOOLS LTD.,43,9,6,8,4,0,16,1,317,0.192
32,BHARAT BROADBAND NETWORK LTD.,40,0,2,5,12,0,21,1,102,0.192
33,NMDC LTD.,38,0,4,5,10,0,19,1,222,0.192
34,RAILTEL CORPORATION INDIA LTD.,37,4,8,7,13,0,5,1,433,0.192
35,NORTHERN COALFIELDS LTD.,37,2,8,5,10,0,12,1,398,0.192
36,AIR INDIA LTD.,35,0,5,20,5,0,5,1,335,0.192
37,NLC INDIA LTD.,33,2,12,3,7,0,9,1,119,0.192
