0,1,2,3,4,5,6,7,8
1,BHARAT SANCHAR NIGAM LTD.,2186,132,213,1005,656,0,180
2,INDIAN OIL CORPORATION LTD.,650,157,85,76,68,0,264
3,BHARAT HEAVY ELECTRICALS LTD.,571,50,93,126,116,0,186
4,BRIDGE & ROOF CO.(INDIA) LTD.,423,146,115,72,53,0,37
5,NTPC LTD.,238,10,16,25,11,0,176
6,HINDUSTAN PETROLEUM CORPN. LTD.,223,35,29,22,43,0,94
7,STEEL AUTHORITY OF INDIA LTD.,211,25,39,46,26,0,75
8,RASHTRIYA ISPAT NIGAM LTD.,132,46,23,17,20,0,26
9,GAIL (INDIA) LTD.,117,20,24,14,42,0,17
10,I T I LTD.,116,23,18,36,30,0,9
11,OIL & NATURAL GAS CORPORATION LTD.,109,18,27,22,17,0,25
12,POWER GRID CORPORATION OF INDIA LTD.,108,30,15,14,17,0,32
13,BHARAT PETROLEUM CORPN. LTD.,107,7,14,17,19,0,50
14,HINDUSTAN AERONAUTICS LTD.,97,0,2,8,0,0,87
15,BHARAT ELECTRONICS LTD.,91,25,6,15,26,0,19
16,WAPCOS LTD.,89,11,23,20,22,0,13
17,HEAVY ENGINEERING CORPN. LTD.,88,15,32,19,10,0,12
18,NBCC (INDIA) LTD.,81,10,23,23,22,0,3
19,MAHANAGAR TELEPHONE NIGAM LTD.,75,0,20,31,15,0,9
20,HOTEL CORPN. OF INDIA LTD.,68,0,0,0,68,0,0
21,HINDUSTAN INSECTICIDES LTD.,60,7,12,22,15,0,4
22,ENGINEERING PROJECTS (INDIA) LTD.,58,6,3,9,34,0,6
23,SOUTH EASTERN COALFIELDS LTD.,58,7,7,7,15,0,22
24,IRCON INTERNATIONAL LTD.,49,1,7,10,19,0,12
25,EASTERN COALFIELDS LTD.,49,3,10,6,7,0,23
26,CENTRAL COALFIELDS LTD.,49,9,6,7,9,0,18
27,AIRPORTS AUTHORITY OF INDIA,48,12,4,13,6,0,13
28,AI AIRPORT SERVICES LTD.,46,27,6,3,0,0,10
29,ELECTRONICS CORPN. OF INDIA LTD.,44,3,4,21,8,0,8
30,MECON LTD.,43,6,8,21,3,0,5
31,HMT MACHINE TOOLS LTD.,43,9,6,8,4,0,16
32,BHARAT BROADBAND NETWORK LTD.,40,0,2,5,12,0,21
33,NMDC LTD.,38,0,4,5,10,0,19
34,RAILTEL CORPORATION INDIA LTD.,37,4,8,7,13,0,5
